id,name,price,stock,description,isArchived
119,Produit 118,33.95,6,Description automatique,
120,Produit 119,86.87,22,Description automatique,
121,Produit 120,54.19,17,Description automatique,
122,Produit 121,66.67,37,Description automatique,
123,Produit 122,86.93,19,Description automatique,
124,Produit 123,47.82,5,Description automatique,
125,Produit 124,93.64,19,Description automatique,
126,Produit 125,49.18,7,Description automatique,
127,Produit 126,93.8,48,Description automatique,
128,Produit 127,51.48,25,Description automatique,
129,Produit 128,93.06,34,Description automatique,
130,Produit 129,67.23,12,Description automatique,
131,Produit 130,99.4,21,Description automatique,
132,Produit 131,50.64,2,Description automatique,
133,Produit 132,72.24,39,Description automatique,
134,Produit 133,56.16,16,Description automatique,
135,Produit 134,46.05,27,Description automatique,
136,Produit 135,78.34,48,Description automatique,
137,Produit 136,54.51,44,Description automatique,
138,Produit 137,99.27,9,Description automatique,
139,Produit 138,9.48,1,Description automatique,
140,Produit 139,38.98,42,Description automatique,
141,Produit 140,6.19,47,Description automatique,
142,Produit 141,15.12,2,Description automatique,
143,Produit 142,38.16,39,Description automatique,
144,Produit 143,43.57,41,Description automatique,
145,Produit 144,38.1,4,Description automatique,
146,Produit 145,26.8,26,Description automatique,
147,Produit 146,20.02,33,Description automatique,
148,Produit 147,37.44,32,Description automatique,
149,Produit 148,56.65,26,Description automatique,
150,Produit 149,79.82,2,Description automatique,
151,Produit 150,67.62,6,Description automatique,
152,Produit 151,61.89,42,Description automatique,
153,Produit 152,2.55,26,Description automatique,
154,Produit 153,3.01,40,Description automatique,
155,Produit 154,37.02,26,Description automatique,
156,Produit 155,63.01,25,Description automatique,
157,Produit 156,35.48,5,Description automatique,
158,Produit 157,80.37,21,Description automatique,
159,Produit 158,18.7,8,Description automatique,
160,Produit 159,48.49,27,Description automatique,
161,Produit 160,53.07,25,Description automatique,
162,Produit 161,3.99,44,Description automatique,
163,Produit 162,99.44,22,Description automatique,
164,Produit 163,43.46,17,Description automatique,
165,Produit 164,14.69,0,Description automatique,
166,Produit 165,99.02,18,Description automatique,
167,Produit 166,73.97,1,Description automatique,
168,Produit 167,91.12,41,Description automatique,
169,Produit 168,56.05,17,Description automatique,
170,Produit 169,47.21,13,Description automatique,
171,Produit 170,30.69,21,Description automatique,
172,Produit 171,17.31,4,Description automatique,
173,Produit 172,65.26,5,Description automatique,
174,Produit 173,47.84,45,Description automatique,
175,Produit 174,18.13,12,Description automatique,
176,Produit 175,32.97,46,Description automatique,
177,Produit 176,45.01,26,Description automatique,
178,Produit 177,77.74,10,Description automatique,
179,Produit 178,30.51,6,Description automatique,
180,Produit 179,29.37,0,Description automatique,
181,Produit 180,86.25,33,Description automatique,
182,Produit 181,99.42,34,Description automatique,
183,Produit 182,24.29,28,Description automatique,
184,Produit 183,37.99,2,Description automatique,
185,Produit 184,47.66,44,Description automatique,
186,Produit 185,57.15,43,Description automatique,
187,Produit 186,25.21,15,Description automatique,
188,Produit 187,74.27,38,Description automatique,
189,Produit 188,92.3,39,Description automatique,
190,Produit 189,32.25,31,Description automatique,
191,Produit 190,12.01,26,Description automatique,
192,Produit 191,98.25,23,Description automatique,
193,Produit 192,43.37,47,Description automatique,
194,Produit 193,10.08,3,Description automatique,
195,Produit 194,72.5,10,Description automatique,
196,Produit 195,26.48,25,Description automatique,
197,Produit 196,41.08,47,Description automatique,
198,Produit 197,55.49,39,Description automatique,
199,Produit 198,74.68,47,Description automatique,
200,Produit 199,59.02,37,Description automatique,
201,Produit 200,26.09,19,Description automatique,
202,Produit 201,98.75,12,Description automatique,
203,Produit 202,20.36,28,Description automatique,
204,Produit 203,13.8,37,Description automatique,
205,Produit 204,92.37,23,Description automatique,
206,Produit 205,91.73,20,Description automatique,
207,Produit 206,36.37,43,Description automatique,
208,Produit 207,92.01,44,Description automatique,
209,Produit 208,28.03,2,Description automatique,
210,Produit 209,20.33,14,Description automatique,
211,Produit 210,72.57,20,Description automatique,
212,Produit 211,86.43,39,Description automatique,
213,Produit 212,73.46,26,Description automatique,
214,Produit 213,1.88,8,Description automatique,
215,Produit 214,19.4,34,Description automatique,
216,Produit 215,90.89,44,Description automatique,
217,Produit 216,96.1,9,Description automatique,
218,Produit 217,65.89,6,Description automatique,
219,Produit 218,45.19,10,Description automatique,
220,Produit 219,31.11,13,Description automatique,
221,Produit 220,1.89,10,Description automatique,
222,Produit 221,24.28,17,Description automatique,
223,Produit 222,61.17,34,Description automatique,
224,Produit 223,76.31,27,Description automatique,
225,Produit 224,23.12,13,Description automatique,
226,Produit 225,31.86,49,Description automatique,
227,Produit 226,26.02,30,Description automatique,
228,Produit 227,61.02,6,Description automatique,
229,Produit 228,55.97,0,Description automatique,
230,Produit 229,22.43,48,Description automatique,
231,Produit 230,88.65,2,Description automatique,
232,Produit 231,86.14,39,Description automatique,
233,Produit 232,49.55,38,Description automatique,
234,Produit 233,31.25,45,Description automatique,
235,Produit 234,85.6,33,Description automatique,
236,Produit 235,16.26,27,Description automatique,
237,Produit 236,98.26,41,Description automatique,
238,Produit 237,46.09,26,Description automatique,
239,Produit 238,7.59,21,Description automatique,
240,Produit 239,67.22,33,Description automatique,
241,Produit 240,71.79,5,Description automatique,
242,Produit 241,73.22,48,Description automatique,
243,Produit 242,88.42,41,Description automatique,
244,Produit 243,37.97,39,Description automatique,
245,Produit 244,74.31,24,Description automatique,
246,Produit 245,49.05,35,Description automatique,
247,Produit 246,87.18,13,Description automatique,
248,Produit 247,96.12,48,Description automatique,
249,Produit 248,46.84,33,Description automatique,
250,Produit 249,74.71,33,Description automatique,
251,Produit 250,16.51,21,Description automatique,
252,Produit 251,22.39,43,Description automatique,
253,Produit 252,62.19,15,Description automatique,
254,Produit 253,14.7,26,Description automatique,
255,Produit 254,73.81,21,Description automatique,
256,Produit 255,58.79,34,Description automatique,
257,Produit 256,24.28,24,Description automatique,
258,Produit 257,80.29,29,Description automatique,
259,Produit 258,10.21,8,Description automatique,
260,Produit 259,37.88,12,Description automatique,
261,Produit 260,96.4,1,Description automatique,
262,Produit 261,25.96,42,Description automatique,
263,Produit 262,17.87,2,Description automatique,
264,Produit 263,68.31,14,Description automatique,
265,Produit 264,45.02,4,Description automatique,
266,Produit 265,52.82,9,Description automatique,
267,Produit 266,45.37,24,Description automatique,
268,Produit 267,95.31,32,Description automatique,
269,Produit 268,47.44,30,Description automatique,
270,Produit 269,51.72,10,Description automatique,
271,Produit 270,32.36,8,Description automatique,
272,Produit 271,32.07,35,Description automatique,
273,Produit 272,40.73,19,Description automatique,
274,Produit 273,86.7,18,Description automatique,
275,Produit 274,88.1,27,Description automatique,
276,Produit 275,72.75,17,Description automatique,
277,Produit 276,13.91,5,Description automatique,
278,Produit 277,46.97,48,Description automatique,
279,Produit 278,25.74,43,Description automatique,
280,Produit 279,60.83,1,Description automatique,
281,Produit 280,14.21,3,Description automatique,
282,Produit 281,52.48,44,Description automatique,
283,Produit 282,73.45,14,Description automatique,
284,Produit 283,31.09,5,Description automatique,
285,Produit 284,48.98,44,Description automatique,
286,Produit 285,97.49,4,Description automatique,
287,Produit 286,49.27,28,Description automatique,
288,Produit 287,67.72,35,Description automatique,
289,Produit 288,21.83,39,Description automatique,
290,Produit 289,52.46,21,Description automatique,
291,Produit 290,85.19,25,Description automatique,
292,Produit 291,71.54,35,Description automatique,
293,Produit 292,20.32,2,Description automatique,
294,Produit 293,95.25,48,Description automatique,
295,Produit 294,19.84,45,Description automatique,
296,Produit 295,66.63,46,Description automatique,
297,Produit 296,73.57,27,Description automatique,
298,Produit 297,0.5,21,Description automatique,
299,Produit 298,32.64,38,Description automatique,
300,Produit 299,72.7,28,Description automatique,
301,Produit 300,11.73,10,Description automatique,
302,Produit 301,55.4,26,Description automatique,
303,Produit 302,57.89,41,Description automatique,
304,Produit 303,98.16,3,Description automatique,
305,Produit 304,18.98,26,Description automatique,
306,Produit 305,57.08,5,Description automatique,
307,Produit 306,72.26,7,Description automatique,
308,Produit 307,37.03,40,Description automatique,
309,Produit 308,39.99,19,Description automatique,
310,Produit 309,15.46,19,Description automatique,
311,Produit 310,53.05,30,Description automatique,
312,Produit 311,32.59,8,Description automatique,
313,Produit 312,92.42,30,Description automatique,
314,Produit 313,50.85,17,Description automatique,
315,Produit 314,35.46,4,Description automatique,
316,Produit 315,25.01,36,Description automatique,
317,Produit 316,49.14,49,Description automatique,
318,Produit 317,75.82,18,Description automatique,
319,Produit 318,80.99,22,Description automatique,
320,Produit 319,78.62,2,Description automatique,
321,Produit 320,66.22,10,Description automatique,
322,Produit 321,74.32,37,Description automatique,
323,Produit 322,35.41,13,Description automatique,
324,Produit 323,78.85,34,Description automatique,
325,Produit 324,50.05,1,Description automatique,
326,Produit 325,62.66,37,Description automatique,
327,Produit 326,73.16,47,Description automatique,
328,Produit 327,20.81,28,Description automatique,
329,Produit 328,14.78,11,Description automatique,
330,Produit 329,57.81,3,Description automatique,
331,Produit 330,59.51,24,Description automatique,
332,Produit 331,22.13,24,Description automatique,
333,Produit 332,73.73,38,Description automatique,
334,Produit 333,33.57,29,Description automatique,
335,Produit 334,5.58,3,Description automatique,
336,Produit 335,92.14,7,Description automatique,
337,Produit 336,3.9,24,Description automatique,
338,Produit 337,92.59,46,Description automatique,
339,Produit 338,74.01,35,Description automatique,
340,Produit 339,2.68,5,Description automatique,
341,Produit 340,62.3,37,Description automatique,
342,Produit 341,28.19,7,Description automatique,
343,Produit 342,24.4,37,Description automatique,
344,Produit 343,86.77,8,Description automatique,
345,Produit 344,28.21,22,Description automatique,
346,Produit 345,9.12,29,Description automatique,
347,Produit 346,51.27,30,Description automatique,
348,Produit 347,61.05,46,Description automatique,
349,Produit 348,8.3,24,Description automatique,
350,Produit 349,63.2,3,Description automatique,
351,Produit 350,26.77,48,Description automatique,
352,Produit 351,23.08,12,Description automatique,
353,Produit 352,4.73,28,Description automatique,
354,Produit 353,19.32,26,Description automatique,
355,Produit 354,16.02,11,Description automatique,
356,Produit 355,60.65,33,Description automatique,
357,Produit 356,56.51,4,Description automatique,
358,Produit 357,11.66,10,Description automatique,
359,Produit 358,15.85,30,Description automatique,
360,Produit 359,77.68,45,Description automatique,
361,Produit 360,15.51,40,Description automatique,
362,Produit 361,28.52,15,Description automatique,
363,Produit 362,57.7,8,Description automatique,
364,Produit 363,43.6,41,Description automatique,
365,Produit 364,83.58,14,Description automatique,
366,Produit 365,49.14,8,Description automatique,
367,Produit 366,24.78,14,Description automatique,
368,Produit 367,17.5,31,Description automatique,
369,Produit 368,1.1,39,Description automatique,
370,Produit 369,63.41,30,Description automatique,
371,Produit 370,7.53,6,Description automatique,
372,Produit 371,63.31,12,Description automatique,
373,Produit 372,88.5,45,Description automatique,
374,Produit 373,25.9,33,Description automatique,
375,Produit 374,96.95,1,Description automatique,
376,Produit 375,81.62,18,Description automatique,
377,Produit 376,95.96,19,Description automatique,
378,Produit 377,91.57,29,Description automatique,
379,Produit 378,70.54,43,Description automatique,
380,Produit 379,96.84,42,Description automatique,
381,Produit 380,59.91,20,Description automatique,
382,Produit 381,96.82,6,Description automatique,
383,Produit 382,96.86,5,Description automatique,
384,Produit 383,27.38,22,Description automatique,
385,Produit 384,9.03,13,Description automatique,
386,Produit 385,35.88,46,Description automatique,
387,Produit 386,76.56,11,Description automatique,
388,Produit 387,82.82,11,Description automatique,
389,Produit 388,31.13,31,Description automatique,
390,Produit 389,1.94,27,Description automatique,
391,Produit 390,84.12,17,Description automatique,
392,Produit 391,84.24,23,Description automatique,
393,Produit 392,24.37,15,Description automatique,
394,Produit 393,82.05,3,Description automatique,
395,Produit 394,47.27,28,Description automatique,
396,Produit 395,7.17,41,Description automatique,
397,Produit 396,80.05,30,Description automatique,
398,Produit 397,30.07,30,Description automatique,
399,Produit 398,68.43,15,Description automatique,
400,Produit 399,17.81,30,Description automatique,
401,Produit 400,97.41,34,Description automatique,
402,Produit 401,2.09,43,Description automatique,
403,Produit 402,47.9,7,Description automatique,
404,Produit 403,64.22,39,Description automatique,
405,Produit 404,83.64,0,Description automatique,
406,Produit 405,99.81,22,Description automatique,
407,Produit 406,31.59,49,Description automatique,
408,Produit 407,71.16,34,Description automatique,
409,Produit 408,52.18,36,Description automatique,
410,Produit 409,36.89,36,Description automatique,
411,Produit 410,25.73,5,Description automatique,
412,Produit 411,60.6,3,Description automatique,
413,Produit 412,78.84,22,Description automatique,
414,Produit 413,16.93,24,Description automatique,
415,Produit 414,13.17,0,Description automatique,
416,Produit 415,19.74,30,Description automatique,
417,Produit 416,62.7,40,Description automatique,
418,Produit 417,2.9,11,Description automatique,
419,Produit 418,83.08,46,Description automatique,
420,Produit 419,39.84,12,Description automatique,
421,Produit 420,93.72,4,Description automatique,
422,Produit 421,13.42,7,Description automatique,
423,Produit 422,71.41,19,Description automatique,
424,Produit 423,73.02,36,Description automatique,
425,Produit 424,96.22,12,Description automatique,
426,Produit 425,6.07,3,Description automatique,
427,Produit 426,13.77,49,Description automatique,
428,Produit 427,24.65,23,Description automatique,
429,Produit 428,24.61,19,Description automatique,
430,Produit 429,48.64,15,Description automatique,
431,Produit 430,35.71,6,Description automatique,
432,Produit 431,15.63,22,Description automatique,
433,Produit 432,30.09,10,Description automatique,
434,Produit 433,79.88,6,Description automatique,
435,Produit 434,38.39,19,Description automatique,
436,Produit 435,5.23,12,Description automatique,
437,Produit 436,25.31,49,Description automatique,
438,Produit 437,25.02,24,Description automatique,
439,Produit 438,49.84,7,Description automatique,
440,Produit 439,95.72,40,Description automatique,
441,Produit 440,24.78,46,Description automatique,
442,Produit 441,64.28,2,Description automatique,
443,Produit 442,47.58,22,Description automatique,
444,Produit 443,82.15,33,Description automatique,
445,Produit 444,80.43,25,Description automatique,
446,Produit 445,56.52,45,Description automatique,
447,Produit 446,79.9,43,Description automatique,
448,Produit 447,26.46,44,Description automatique,
449,Produit 448,90.83,13,Description automatique,
450,Produit 449,37.29,8,Description automatique,
451,Produit 450,6.16,17,Description automatique,
452,Produit 451,37.67,26,Description automatique,
453,Produit 452,68.82,23,Description automatique,
454,Produit 453,86.1,22,Description automatique,
455,Produit 454,16.49,43,Description automatique,
456,Produit 455,63.23,41,Description automatique,
457,Produit 456,58.05,20,Description automatique,
458,Produit 457,81.82,18,Description automatique,
459,Produit 458,1.08,23,Description automatique,
460,Produit 459,5.23,16,Description automatique,
461,Produit 460,20.08,49,Description automatique,
462,Produit 461,19.1,42,Description automatique,
463,Produit 462,77.34,25,Description automatique,
464,Produit 463,12.23,32,Description automatique,
465,Produit 464,61.24,36,Description automatique,
466,Produit 465,64.25,29,Description automatique,
467,Produit 466,63.95,48,Description automatique,
468,Produit 467,46.14,10,Description automatique,
469,Produit 468,21.3,16,Description automatique,
470,Produit 469,92.94,4,Description automatique,
471,Produit 470,0.92,43,Description automatique,
472,Produit 471,65.2,49,Description automatique,
473,Produit 472,56.44,1,Description automatique,
474,Produit 473,40.8,47,Description automatique,
475,Produit 474,44.31,29,Description automatique,
476,Produit 475,65.9,25,Description automatique,
477,Produit 476,94.63,25,Description automatique,
478,Produit 477,27.12,9,Description automatique,
479,Produit 478,71.09,36,Description automatique,
480,Produit 479,21.46,37,Description automatique,
481,Produit 480,97.57,16,Description automatique,
482,Produit 481,25.98,27,Description automatique,
483,Produit 482,22.47,27,Description automatique,
484,Produit 483,58.96,42,Description automatique,
485,Produit 484,88.97,28,Description automatique,
486,Produit 485,53.99,15,Description automatique,
487,Produit 486,93.44,39,Description automatique,
488,Produit 487,6.72,39,Description automatique,
489,Produit 488,72.44,32,Description automatique,
490,Produit 489,77.4,22,Description automatique,
491,Produit 490,56.81,17,Description automatique,
492,Produit 491,30.9,42,Description automatique,
493,Produit 492,36.6,9,Description automatique,
494,Produit 493,63.27,25,Description automatique,
495,Produit 494,35.41,8,Description automatique,
496,Produit 495,51.47,31,Description automatique,
497,Produit 496,59.89,45,Description automatique,
498,Produit 497,15.08,1,Description automatique,
499,Produit 498,48.21,3,Description automatique,
500,Produit 499,76.35,43,Description automatique,
501,Produit 500,63.87,43,Description automatique,
502,Produit 501,5.63,19,Description automatique,
503,Produit 502,50.1,24,Description automatique,
504,Produit 503,23.78,5,Description automatique,
505,Produit 504,72.49,17,Description automatique,
506,Produit 505,16.19,48,Description automatique,
507,Produit 506,32.7,34,Description automatique,
508,Produit 507,19.69,32,Description automatique,
509,Produit 508,71.82,47,Description automatique,
510,Produit 509,35.09,18,Description automatique,
511,Produit 510,29.25,21,Description automatique,
512,Produit 511,51.1,21,Description automatique,
513,Produit 512,11.99,21,Description automatique,
514,Produit 513,20.4,18,Description automatique,
515,Produit 514,49.68,47,Description automatique,
516,Produit 515,5.72,33,Description automatique,
517,Produit 516,87.15,26,Description automatique,
518,Produit 517,48.72,38,Description automatique,
519,Produit 518,61.92,40,Description automatique,
520,Produit 519,34.04,30,Description automatique,
521,Produit 520,6.18,46,Description automatique,
522,Produit 521,39.88,3,Description automatique,
523,Produit 522,73.77,25,Description automatique,
524,Produit 523,7.57,11,Description automatique,
525,Produit 524,28.78,8,Description automatique,
526,Produit 525,89.47,47,Description automatique,
527,Produit 526,95.51,14,Description automatique,
528,Produit 527,25.54,48,Description automatique,
529,Produit 528,20.56,37,Description automatique,
530,Produit 529,86.35,34,Description automatique,
531,Produit 530,37.03,41,Description automatique,
532,Produit 531,84.96,20,Description automatique,
533,Produit 532,64.39,47,Description automatique,
534,Produit 533,50.99,8,Description automatique,
535,Produit 534,94.84,21,Description automatique,
536,Produit 535,24.24,18,Description automatique,
537,Produit 536,79.79,44,Description automatique,
538,Produit 537,93.96,33,Description automatique,
539,Produit 538,43.97,7,Description automatique,
540,Produit 539,39.05,5,Description automatique,
541,Produit 540,87.86,43,Description automatique,
542,Produit 541,51.9,15,Description automatique,
543,Produit 542,43.6,21,Description automatique,
544,Produit 543,5.15,15,Description automatique,
545,Produit 544,93.47,10,Description automatique,
546,Produit 545,65.63,29,Description automatique,
547,Produit 546,20.16,37,Description automatique,
548,Produit 547,36.36,5,Description automatique,
549,Produit 548,33.78,40,Description automatique,
550,Produit 549,62.15,9,Description automatique,
551,Produit 550,46.39,22,Description automatique,
552,Produit 551,33.79,18,Description automatique,
553,Produit 552,83.97,47,Description automatique,
554,Produit 553,81.95,27,Description automatique,
555,Produit 554,23.77,27,Description automatique,
556,Produit 555,80,32,Description automatique,
557,Produit 556,34.71,20,Description automatique,
558,Produit 557,30.01,23,Description automatique,
559,Produit 558,39.23,48,Description automatique,
560,Produit 559,83.64,10,Description automatique,
561,Produit 560,84.56,28,Description automatique,
562,Produit 561,77.5,44,Description automatique,
563,Produit 562,39.54,10,Description automatique,
564,Produit 563,65.13,40,Description automatique,
565,Produit 564,72.41,31,Description automatique,
566,Produit 565,25.03,45,Description automatique,
567,Produit 566,9.64,45,Description automatique,
568,Produit 567,66.97,27,Description automatique,
569,Produit 568,71.71,22,Description automatique,
570,Produit 569,89.55,7,Description automatique,
571,Produit 570,27.74,2,Description automatique,
572,Produit 571,15.55,32,Description automatique,
573,Produit 572,90.42,4,Description automatique,
574,Produit 573,36.77,35,Description automatique,
575,Produit 574,23.05,9,Description automatique,
576,Produit 575,11.09,27,Description automatique,
577,Produit 576,58.44,41,Description automatique,
578,Produit 577,37.03,47,Description automatique,
579,Produit 578,96.57,3,Description automatique,
580,Produit 579,69.19,5,Description automatique,
581,Produit 580,53.71,20,Description automatique,
582,Produit 581,63.55,1,Description automatique,
583,Produit 582,64.76,32,Description automatique,
584,Produit 583,65.52,22,Description automatique,
585,Produit 584,9.45,38,Description automatique,
586,Produit 585,25.54,46,Description automatique,
587,Produit 586,13.08,44,Description automatique,
588,Produit 587,26.25,34,Description automatique,
589,Produit 588,32.91,7,Description automatique,
590,Produit 589,74.06,8,Description automatique,
591,Produit 590,33.34,18,Description automatique,
592,Produit 591,45.34,25,Description automatique,
593,Produit 592,90.59,12,Description automatique,
594,Produit 593,26.93,9,Description automatique,
595,Produit 594,3.57,36,Description automatique,
596,Produit 595,40.3,21,Description automatique,
597,Produit 596,4.97,10,Description automatique,
598,Produit 597,80.93,13,Description automatique,
599,Produit 598,0.44,35,Description automatique,
600,Produit 599,1.99,38,Description automatique,
601,Produit 600,77.26,22,Description automatique,
602,Produit 601,9.83,5,Description automatique,
603,Produit 602,28.58,36,Description automatique,
604,Produit 603,12.7,38,Description automatique,
605,Produit 604,90.66,17,Description automatique,
606,Produit 605,41.13,13,Description automatique,
607,Produit 606,78.28,20,Description automatique,
608,Produit 607,27.79,7,Description automatique,
609,Produit 608,51.24,11,Description automatique,
610,Produit 609,99.05,39,Description automatique,
611,Produit 610,35.27,28,Description automatique,
612,Produit 611,22.27,47,Description automatique,
613,Produit 612,59.93,23,Description automatique,
614,Produit 613,92.71,35,Description automatique,
615,Produit 614,33.34,20,Description automatique,
616,Produit 615,15.81,28,Description automatique,
617,Produit 616,0.16,1,Description automatique,
618,Produit 617,31.23,14,Description automatique,
619,Produit 618,86.11,12,Description automatique,
620,Produit 619,45.3,6,Description automatique,
621,Produit 620,59.99,42,Description automatique,
622,Produit 621,24.17,29,Description automatique,
623,Produit 622,96.83,39,Description automatique,
624,Produit 623,94.86,29,Description automatique,
625,Produit 624,73.06,15,Description automatique,
626,Produit 625,87.2,44,Description automatique,
627,Produit 626,65.16,14,Description automatique,
628,Produit 627,82.82,34,Description automatique,
629,Produit 628,37.94,32,Description automatique,
630,Produit 629,34.03,38,Description automatique,
631,Produit 630,10.1,5,Description automatique,
632,Produit 631,39.74,17,Description automatique,
633,Produit 632,70.21,27,Description automatique,
634,Produit 633,90.02,38,Description automatique,
635,Produit 634,30.74,3,Description automatique,
636,Produit 635,42.08,25,Description automatique,
637,Produit 636,55.26,5,Description automatique,
638,Produit 637,76.4,33,Description automatique,
639,Produit 638,92.97,28,Description automatique,
640,Produit 639,22.12,45,Description automatique,
641,Produit 640,72.02,40,Description automatique,
642,Produit 641,71.59,12,Description automatique,
643,Produit 642,2.22,31,Description automatique,
644,Produit 643,48.09,30,Description automatique,
645,Produit 644,73.26,18,Description automatique,
646,Produit 645,28.5,25,Description automatique,
647,Produit 646,11.61,26,Description automatique,
648,Produit 647,40.23,35,Description automatique,
649,Produit 648,58.26,42,Description automatique,
650,Produit 649,9.16,10,Description automatique,
651,Produit 650,76.57,31,Description automatique,
652,Produit 651,6.06,6,Description automatique,
653,Produit 652,51.92,22,Description automatique,
654,Produit 653,91.04,11,Description automatique,
655,Produit 654,17.35,36,Description automatique,
656,Produit 655,19.83,8,Description automatique,
657,Produit 656,59.61,2,Description automatique,
658,Produit 657,79.52,28,Description automatique,
659,Produit 658,53.76,34,Description automatique,
660,Produit 659,8.36,45,Description automatique,
661,Produit 660,73.56,17,Description automatique,
662,Produit 661,34.25,2,Description automatique,
663,Produit 662,9.72,3,Description automatique,
664,Produit 663,30.34,34,Description automatique,
665,Produit 664,63.56,36,Description automatique,
